"","obs_error","rate_of_change","replicate","sim_fisher_min","sim_log_fisher_min","regime_shift_time"
"187",0.2,-8e-04,187,162,159,118
"188",0.25,-8e-04,188,162,159,118
"189",0.3,-8e-04,189,162,159,118
"190",0,-9e-04,190,157,155,105
"191",0.05,-9e-04,191,157,155,105
"192",0.1,-9e-04,192,157,155,105
"193",0.15,-9e-04,193,156,155,105
"194",0.2,-9e-04,194,156,154,105
"195",0.25,-9e-04,195,157,155,105
"196",0.3,-9e-04,196,157,156,105
"197",0,-0.001,197,141,73,95
"198",0.05,-0.001,198,141,73,95
"199",0.1,-0.001,199,149,72,95
"200",0.15,-0.001,200,144,73,95
"201",0.2,-0.001,201,144,73,95
"202",0.25,-0.001,202,147,73,95
"203",0.3,-0.001,203,141,71,95
"204",0,-0.0011,204,128,125,86
"205",0.05,-0.0011,205,128,125,86
"206",0.1,-0.0011,206,128,125,86
"207",0.15,-0.0011,207,128,125,86
"208",0.2,-0.0011,208,128,125,86
"209",0.25,-0.0011,209,127,124,86
"210",0.3,-0.0011,210,129,126,86
"211",0,-2e-04,211,539,462,473
"212",0.05,-2e-04,212,539,462,473
"213",0.1,-2e-04,213,545,462,473
"214",0.15,-2e-04,214,545,462,473
"215",0.2,-2e-04,215,539,462,473
"216",0.25,-2e-04,216,548,462,473
"217",0.3,-2e-04,217,553,462,473
"218",0,-3e-04,218,370,369,314
"219",0.05,-3e-04,219,370,368,314
"220",0.1,-3e-04,220,370,369,314
"221",0.15,-3e-04,221,370,369,314
"222",0.2,-3e-04,222,370,369,314
"223",0.25,-3e-04,223,370,369,314
"224",0.3,-3e-04,224,370,369,314
"225",0,-4e-04,225,296,298,236
"226",0.05,-4e-04,226,296,299,236
"227",0.1,-4e-04,227,295,298,236
"228",0.15,-4e-04,228,296,297,236
"229",0.2,-4e-04,229,299,212,236
"230",0.25,-4e-04,230,295,208,236
"231",0.3,-4e-04,231,297,304,236
"232",0,-5e-04,232,234,232,189
"233",0.05,-5e-04,233,235,232,189
"234",0.1,-5e-04,234,236,234,189
"235",0.15,-5e-04,235,234,232,189
"236",0.2,-5e-04,236,236,235,189
"237",0.25,-5e-04,237,235,233,189
"238",0.3,-5e-04,238,234,231,189
"239",0,-6e-04,239,202,203,157
"240",0.05,-6e-04,240,202,204,157
"241",0.1,-6e-04,241,202,203,157
"242",0.15,-6e-04,242,205,203,157
"243",0.2,-6e-04,243,202,204,157
"244",0.25,-6e-04,244,204,205,157
"245",0.3,-6e-04,245,203,201,157
"246",0,-7e-04,246,190,106,135
"247",0.05,-7e-04,247,190,105,135
"248",0.1,-7e-04,248,190,105,135
"249",0.15,-7e-04,249,190,104,135
"250",0.2,-7e-04,250,190,103,135
"251",0.25,-7e-04,251,189,190,135
"252",0.3,-7e-04,252,193,101,135
"253",0,-8e-04,253,162,159,118
"254",0.05,-8e-04,254,162,159,118
"255",0.1,-8e-04,255,162,159,118
"256",0.15,-8e-04,256,162,159,118
"257",0.2,-8e-04,257,162,159,118
"258",0.25,-8e-04,258,162,159,118
"259",0.3,-8e-04,259,162,159,118
"260",0,-9e-04,260,157,155,105
"261",0.05,-9e-04,261,157,155,105
"262",0.1,-9e-04,262,157,155,105
"263",0.15,-9e-04,263,157,155,105
"264",0.2,-9e-04,264,157,155,105
"265",0.25,-9e-04,265,156,155,105
"266",0.3,-9e-04,266,157,75,105
"267",0,-0.001,267,141,73,95
"268",0.05,-0.001,268,142,73,95
"269",0.1,-0.001,269,141,73,95
"270",0.15,-0.001,270,142,72,95
"271",0.2,-0.001,271,139,73,95
"272",0.25,-0.001,272,139,73,95
"273",0.3,-0.001,273,149,69,95
"274",0,-0.0011,274,128,125,86
"275",0.05,-0.0011,275,128,125,86
"276",0.1,-0.0011,276,128,125,86
"277",0.15,-0.0011,277,128,125,86
"278",0.2,-0.0011,278,128,125,86
"279",0.25,-0.0011,279,128,125,86
"280",0.3,-0.0011,280,127,124,86
"281",0,-2e-04,281,539,462,473
"282",0.05,-2e-04,282,540,462,473
"283",0.1,-2e-04,283,542,543,473
"284",0.15,-2e-04,284,537,543,473
"285",0.2,-2e-04,285,547,462,473
"286",0.25,-2e-04,286,542,567,473
"287",0.3,-2e-04,287,599,599,473
"288",0,-3e-04,288,370,369,314
"289",0.05,-3e-04,289,370,369,314
"290",0.1,-3e-04,290,370,369,314
"291",0.15,-3e-04,291,370,368,314
"292",0.2,-3e-04,292,370,369,314
"293",0.25,-3e-04,293,370,369,314
"294",0.3,-3e-04,294,370,369,314
"295",0,-4e-04,295,296,298,236
"296",0.05,-4e-04,296,296,298,236
"297",0.1,-4e-04,297,297,213,236
"298",0.15,-4e-04,298,295,298,236
"299",0.2,-4e-04,299,298,209,236
"300",0.25,-4e-04,300,299,211,236
"301",0.3,-4e-04,301,299,213,236
"302",0,-5e-04,302,234,232,189
"303",0.05,-5e-04,303,235,233,189
"304",0.1,-5e-04,304,235,233,189
"305",0.15,-5e-04,305,235,234,189
"306",0.2,-5e-04,306,235,232,189
"307",0.25,-5e-04,307,233,231,189
"308",0.3,-5e-04,308,234,231,189
"309",0,-6e-04,309,202,203,157
"310",0.05,-6e-04,310,202,204,157
"311",0.1,-6e-04,311,203,204,157
"312",0.15,-6e-04,312,202,204,157
"313",0.2,-6e-04,313,203,204,157
"314",0.25,-6e-04,314,202,200,157
"315",0.3,-6e-04,315,202,204,157
"316",0,-7e-04,316,190,106,135
"317",0.05,-7e-04,317,190,106,135
"318",0.1,-7e-04,318,190,105,135
"319",0.15,-7e-04,319,190,105,135
"320",0.2,-7e-04,320,190,101,135
"321",0.25,-7e-04,321,189,106,135
"322",0.3,-7e-04,322,192,106,135
"323",0,-8e-04,323,162,159,118
"324",0.05,-8e-04,324,162,159,118
"325",0.1,-8e-04,325,162,159,118
"326",0.15,-8e-04,326,162,159,118
"327",0.2,-8e-04,327,162,159,118
"328",0.25,-8e-04,328,162,160,118
"329",0.3,-8e-04,329,163,161,118
"330",0,-9e-04,330,157,155,105
"331",0.05,-9e-04,331,157,155,105
"332",0.1,-9e-04,332,157,155,105
"333",0.15,-9e-04,333,157,155,105
"334",0.2,-9e-04,334,158,156,105
"335",0.25,-9e-04,335,156,154,105
"336",0.3,-9e-04,336,156,155,105
"337",0,-0.001,337,141,73,95
"338",0.05,-0.001,338,150,73,95
"339",0.1,-0.001,339,150,73,95
"340",0.15,-0.001,340,141,73,95
"341",0.2,-0.001,341,143,73,95
"342",0.25,-0.001,342,153,72,95
"343",0.3,-0.001,343,142,72,95
"344",0,-0.0011,344,128,125,86
"345",0.05,-0.0011,345,128,125,86
"346",0.1,-0.0011,346,128,125,86
"347",0.15,-0.0011,347,128,125,86
"348",0.2,-0.0011,348,129,126,86
"349",0.25,-0.0011,349,128,125,86
"350",0.3,-0.0011,350,127,124,86
"351",0,-2e-04,351,539,462,473
"352",0.05,-2e-04,352,539,462,473
"353",0.1,-2e-04,353,539,542,473
"354",0.15,-2e-04,354,538,542,473
"355",0.2,-2e-04,355,537,544,473
"356",0.25,-2e-04,356,539,545,473
"357",0.3,-2e-04,357,540,543,473
"358",0,-3e-04,358,370,369,314
"359",0.05,-3e-04,359,370,369,314
"360",0.1,-3e-04,360,370,369,314
"361",0.15,-3e-04,361,370,369,314
"362",0.2,-3e-04,362,370,369,314
"363",0.25,-3e-04,363,371,369,314
"364",0.3,-3e-04,364,371,370,314
"365",0,-4e-04,365,296,298,236
"366",0.05,-4e-04,366,296,299,236
"367",0.1,-4e-04,367,296,298,236
"368",0.15,-4e-04,368,296,300,236
"369",0.2,-4e-04,369,301,208,236
"370",0.25,-4e-04,370,295,298,236
"371",0.3,-4e-04,371,299,213,236
"372",0,-5e-04,372,234,232,189
"373",0.05,-5e-04,373,235,232,189
"374",0.1,-5e-04,374,235,233,189
"375",0.15,-5e-04,375,235,233,189
"376",0.2,-5e-04,376,235,233,189
"377",0.25,-5e-04,377,236,234,189
"378",0.3,-5e-04,378,235,232,189
"379",0,-6e-04,379,202,203,157
"380",0.05,-6e-04,380,202,203,157
"381",0.1,-6e-04,381,202,204,157
"382",0.15,-6e-04,382,202,202,157
"383",0.2,-6e-04,383,202,204,157
"384",0.25,-6e-04,384,201,199,157
"385",0.3,-6e-04,385,202,201,157
"386",0,-7e-04,386,190,106,135
"387",0.05,-7e-04,387,190,105,135
"388",0.1,-7e-04,388,190,104,135
"389",0.15,-7e-04,389,190,106,135
"390",0.2,-7e-04,390,191,106,135
"391",0.25,-7e-04,391,189,106,135
"392",0.3,-7e-04,392,191,106,135
"393",0,-8e-04,393,162,159,118
"394",0.05,-8e-04,394,162,159,118
"395",0.1,-8e-04,395,162,160,118
"396",0.15,-8e-04,396,162,159,118
"397",0.2,-8e-04,397,161,159,118
"398",0.25,-8e-04,398,163,160,118
"399",0.3,-8e-04,399,164,161,118
"400",0,-9e-04,400,157,155,105
"401",0.05,-9e-04,401,156,155,105
"402",0.1,-9e-04,402,157,155,105
"403",0.15,-9e-04,403,157,156,105
"404",0.2,-9e-04,404,157,156,105
"405",0.25,-9e-04,405,157,155,105
"406",0.3,-9e-04,406,156,155,105
"407",0,-0.001,407,141,73,95
"408",0.05,-0.001,408,143,73,95
"409",0.1,-0.001,409,142,72,95
"410",0.15,-0.001,410,149,73,95
"411",0.2,-0.001,411,141,72,95
"412",0.25,-0.001,412,140,71,95
"413",0.3,-0.001,413,149,72,95
"414",0,-0.0011,414,128,125,86
"415",0.05,-0.0011,415,128,125,86
"416",0.1,-0.0011,416,128,125,86
"417",0.15,-0.0011,417,128,125,86
"418",0.2,-0.0011,418,129,126,86
"419",0.25,-0.0011,419,127,124,86
"420",0.3,-0.0011,420,129,126,86
"421",0,-2e-04,421,539,462,473
"422",0.05,-2e-04,422,539,462,473
"423",0.1,-2e-04,423,538,543,473
"424",0.15,-2e-04,424,544,462,473
"425",0.2,-2e-04,425,541,462,473
"426",0.25,-2e-04,426,540,546,473
"427",0.3,-2e-04,427,540,541,473
"428",0,-3e-04,428,370,369,314
"429",0.05,-3e-04,429,370,368,314
"430",0.1,-3e-04,430,370,369,314
"431",0.15,-3e-04,431,370,368,314
"432",0.2,-3e-04,432,371,369,314
"433",0.25,-3e-04,433,370,369,314
"434",0.3,-3e-04,434,371,369,314
"435",0,-4e-04,435,296,298,236
"436",0.05,-4e-04,436,296,209,236
"437",0.1,-4e-04,437,297,213,236
"438",0.15,-4e-04,438,296,213,236
"439",0.2,-4e-04,439,298,214,236
"440",0.25,-4e-04,440,298,301,236
"441",0.3,-4e-04,441,302,214,236
"442",0,-5e-04,442,234,232,189
"443",0.05,-5e-04,443,234,232,189
"444",0.1,-5e-04,444,234,232,189
"445",0.15,-5e-04,445,235,233,189
"446",0.2,-5e-04,446,235,233,189
"447",0.25,-5e-04,447,234,231,189
"448",0.3,-5e-04,448,236,235,189
"449",0,-6e-04,449,202,203,157
"450",0.05,-6e-04,450,202,203,157
"451",0.1,-6e-04,451,203,203,157
"452",0.15,-6e-04,452,202,204,157
"453",0.2,-6e-04,453,203,201,157
"454",0.25,-6e-04,454,203,201,157
"455",0.3,-6e-04,455,204,204,157
"456",0,-7e-04,456,190,106,135
"457",0.05,-7e-04,457,190,105,135
"458",0.1,-7e-04,458,190,104,135
"459",0.15,-7e-04,459,190,105,135
"460",0.2,-7e-04,460,190,106,135
"461",0.25,-7e-04,461,190,21,135
"462",0.3,-7e-04,462,192,106,135
"463",0,-8e-04,463,162,159,118
"464",0.05,-8e-04,464,162,159,118
"465",0.1,-8e-04,465,162,159,118
"466",0.15,-8e-04,466,162,159,118
"467",0.2,-8e-04,467,162,159,118
"468",0.25,-8e-04,468,161,159,118
"469",0.3,-8e-04,469,161,158,118
"470",0,-9e-04,470,157,155,105
"471",0.05,-9e-04,471,157,155,105
"472",0.1,-9e-04,472,157,155,105
"473",0.15,-9e-04,473,157,155,105
"474",0.2,-9e-04,474,157,155,105
"475",0.25,-9e-04,475,158,156,105
"476",0.3,-9e-04,476,158,157,105
"477",0,-0.001,477,141,73,95
"478",0.05,-0.001,478,141,73,95
"479",0.1,-0.001,479,141,73,95
"480",0.15,-0.001,480,147,73,95
"481",0.2,-0.001,481,141,73,95
"482",0.25,-0.001,482,150,71,95
"483",0.3,-0.001,483,145,71,95
"484",0,-0.0011,484,128,125,86
"485",0.05,-0.0011,485,128,125,86
"486",0.1,-0.0011,486,128,125,86
"487",0.15,-0.0011,487,128,125,86
"488",0.2,-0.0011,488,128,125,86
"489",0.25,-0.0011,489,128,124,86
"490",0.3,-0.0011,490,127,124,86
"491",0,-2e-04,491,539,462,473
"492",0.05,-2e-04,492,540,463,473
"493",0.1,-2e-04,493,540,462,473
"494",0.15,-2e-04,494,543,462,473
"495",0.2,-2e-04,495,541,545,473
"496",0.25,-2e-04,496,546,463,473
"497",0.3,-2e-04,497,539,462,473
"498",0,-3e-04,498,370,369,314
"499",0.05,-3e-04,499,370,369,314
"500",0.1,-3e-04,500,369,368,314
"501",0.15,-3e-04,501,370,369,314
"502",0.2,-3e-04,502,370,369,314
"503",0.25,-3e-04,503,371,369,314
"504",0.3,-3e-04,504,370,368,314
"505",0,-4e-04,505,296,298,236
"506",0.05,-4e-04,506,296,298,236
"507",0.1,-4e-04,507,295,297,236
"508",0.15,-4e-04,508,297,298,236
"509",0.2,-4e-04,509,296,207,236
"510",0.25,-4e-04,510,296,297,236
"511",0.3,-4e-04,511,305,211,236
"512",0,-5e-04,512,234,232,189
"513",0.05,-5e-04,513,235,232,189
"514",0.1,-5e-04,514,235,233,189
"515",0.15,-5e-04,515,235,232,189
"516",0.2,-5e-04,516,234,233,189
"517",0.25,-5e-04,517,235,233,189
"518",0.3,-5e-04,518,235,234,189
"519",0,-6e-04,519,202,203,157
"520",0.05,-6e-04,520,203,203,157
"521",0.1,-6e-04,521,202,203,157
"522",0.15,-6e-04,522,202,203,157
"523",0.2,-6e-04,523,203,204,157
"524",0.25,-6e-04,524,202,201,157
"525",0.3,-6e-04,525,202,203,157
"526",0,-7e-04,526,190,106,135
"527",0.05,-7e-04,527,190,106,135
"528",0.1,-7e-04,528,190,106,135
"529",0.15,-7e-04,529,190,106,135
"530",0.2,-7e-04,530,190,106,135
"531",0.25,-7e-04,531,190,22,135
"532",0.3,-7e-04,532,189,107,135
"533",0,-8e-04,533,162,159,118
"534",0.05,-8e-04,534,162,159,118
"535",0.1,-8e-04,535,162,159,118
"536",0.15,-8e-04,536,162,159,118
"537",0.2,-8e-04,537,163,160,118
"538",0.25,-8e-04,538,162,160,118
"539",0.3,-8e-04,539,161,158,118
"540",0,-9e-04,540,157,155,105
"541",0.05,-9e-04,541,157,155,105
"542",0.1,-9e-04,542,156,155,105
"543",0.15,-9e-04,543,156,155,105
"544",0.2,-9e-04,544,157,155,105
"545",0.25,-9e-04,545,157,155,105
"546",0.3,-9e-04,546,157,155,105
"547",0,-0.001,547,141,73,95
"548",0.05,-0.001,548,142,73,95
"549",0.1,-0.001,549,143,73,95
"550",0.15,-0.001,550,150,74,95
"551",0.2,-0.001,551,140,71,95
"552",0.25,-0.001,552,142,73,95
"553",0.3,-0.001,553,143,68,95
"554",0,-0.0011,554,128,125,86
"555",0.05,-0.0011,555,128,125,86
"556",0.1,-0.0011,556,128,125,86
"557",0.15,-0.0011,557,128,125,86
"558",0.2,-0.0011,558,128,125,86
"559",0.25,-0.0011,559,129,125,86
"560",0.3,-0.0011,560,128,125,86
"561",0,-2e-04,561,539,462,473
"562",0.05,-2e-04,562,539,543,473
"563",0.1,-2e-04,563,543,462,473
"564",0.15,-2e-04,564,539,544,473
"565",0.2,-2e-04,565,539,462,473
"566",0.25,-2e-04,566,541,543,473
"567",0.3,-2e-04,567,542,546,473
"568",0,-3e-04,568,370,369,314
"569",0.05,-3e-04,569,370,369,314
"570",0.1,-3e-04,570,370,368,314
"571",0.15,-3e-04,571,370,368,314
"572",0.2,-3e-04,572,371,369,314
"573",0.25,-3e-04,573,370,368,314
"574",0.3,-3e-04,574,371,369,314
"575",0,-4e-04,575,296,298,236
"576",0.05,-4e-04,576,296,212,236
"577",0.1,-4e-04,577,297,304,236
"578",0.15,-4e-04,578,296,298,236
"579",0.2,-4e-04,579,296,303,236
"580",0.25,-4e-04,580,296,300,236
"581",0.3,-4e-04,581,295,301,236
"582",0,-5e-04,582,234,232,189
"583",0.05,-5e-04,583,235,232,189
"584",0.1,-5e-04,584,235,233,189
"585",0.15,-5e-04,585,234,231,189
"586",0.2,-5e-04,586,236,239,189
"587",0.25,-5e-04,587,235,233,189
"588",0.3,-5e-04,588,235,233,189
"589",0,-6e-04,589,202,203,157
"590",0.05,-6e-04,590,202,203,157
"591",0.1,-6e-04,591,203,204,157
"592",0.15,-6e-04,592,202,203,157
"593",0.2,-6e-04,593,201,200,157
"594",0.25,-6e-04,594,203,202,157
"595",0.3,-6e-04,595,204,205,157
"596",0,-7e-04,596,190,106,135
"597",0.05,-7e-04,597,190,106,135
"598",0.1,-7e-04,598,190,105,135
"599",0.15,-7e-04,599,190,104,135
"600",0.2,-7e-04,600,190,105,135
"601",0.25,-7e-04,601,190,104,135
"602",0.3,-7e-04,602,192,105,135
"603",0,-8e-04,603,162,159,118
"604",0.05,-8e-04,604,162,159,118
"605",0.1,-8e-04,605,162,159,118
"606",0.15,-8e-04,606,162,159,118
"607",0.2,-8e-04,607,162,159,118
"608",0.25,-8e-04,608,162,159,118
"609",0.3,-8e-04,609,162,159,118
"610",0,-9e-04,610,157,155,105
"611",0.05,-9e-04,611,157,155,105
"612",0.1,-9e-04,612,157,156,105
"613",0.15,-9e-04,613,156,155,105
"614",0.2,-9e-04,614,157,156,105
"615",0.25,-9e-04,615,157,155,105
"616",0.3,-9e-04,616,156,154,105
"617",0,-0.001,617,141,73,95
"618",0.05,-0.001,618,141,73,95
"619",0.1,-0.001,619,140,73,95
"620",0.15,-0.001,620,145,73,95
"621",0.2,-0.001,621,146,73,95
"622",0.25,-0.001,622,141,73,95
"623",0.3,-0.001,623,140,73,95
"624",0,-0.0011,624,128,125,86
"625",0.05,-0.0011,625,128,125,86
"626",0.1,-0.0011,626,128,125,86
"627",0.15,-0.0011,627,128,124,86
"628",0.2,-0.0011,628,127,124,86
"629",0.25,-0.0011,629,129,126,86
"630",0.3,-0.0011,630,129,126,86
"631",0,-2e-04,631,539,462,473
"632",0.05,-2e-04,632,539,463,473
"633",0.1,-2e-04,633,539,543,473
"634",0.15,-2e-04,634,545,462,473
"635",0.2,-2e-04,635,538,462,473
"636",0.25,-2e-04,636,539,541,473
"637",0.3,-2e-04,637,542,544,473
"638",0,-3e-04,638,370,369,314
"639",0.05,-3e-04,639,370,369,314
"640",0.1,-3e-04,640,370,369,314
"641",0.15,-3e-04,641,371,369,314
"642",0.2,-3e-04,642,371,369,314
"643",0.25,-3e-04,643,370,369,314
"644",0.3,-3e-04,644,370,369,314
"645",0,-4e-04,645,296,298,236
"646",0.05,-4e-04,646,296,213,236
"647",0.1,-4e-04,647,296,297,236
"648",0.15,-4e-04,648,297,207,236
"649",0.2,-4e-04,649,297,299,236
"650",0.25,-4e-04,650,298,213,236
"651",0.3,-4e-04,651,298,301,236
"652",0,-5e-04,652,234,232,189
"653",0.05,-5e-04,653,234,232,189
"654",0.1,-5e-04,654,234,232,189
"655",0.15,-5e-04,655,235,232,189
"656",0.2,-5e-04,656,235,232,189
"657",0.25,-5e-04,657,234,232,189
"658",0.3,-5e-04,658,233,231,189
"659",0,-6e-04,659,202,203,157
"660",0.05,-6e-04,660,202,204,157
"661",0.1,-6e-04,661,202,204,157
"662",0.15,-6e-04,662,204,204,157
"663",0.2,-6e-04,663,204,203,157
"664",0.25,-6e-04,664,204,202,157
"665",0.3,-6e-04,665,202,201,157
"666",0,-7e-04,666,190,106,135
"667",0.05,-7e-04,667,190,105,135
"668",0.1,-7e-04,668,190,106,135
"669",0.15,-7e-04,669,190,106,135
"670",0.2,-7e-04,670,191,105,135
"671",0.25,-7e-04,671,190,105,135
"672",0.3,-7e-04,672,190,107,135
"673",0,-8e-04,673,162,159,118
"674",0.05,-8e-04,674,162,159,118
